,Compound Name,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_1_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_2_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_3_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
473,474,83.855,50.206,49.08,114.884,63.446,18.146,C12H22O11,343.1235,31.67,1.53,0.142,1/1,61.049499999999995,49.06382886485632,74.50625000000001,42.12186944513715,1.2204235906927987,0.7976624775769926
474,475,100152.772,110387.465,105373.984,118846.26,113607.304,113076.118,C21H25N3O2S,384.1744,6.42,0.87,0.34,1/1,113047.08025,8.739442234862185,108690.12025,7.320228287063861,0.961458889602768,1.1051251604629517
475,476,11392.419,13513.528,14706.735,11719.86,6734.66,8022.256,C26H26ClN3,416.1883,5.33,1.24,0.19,1/1,8974.03625,22.886399554083496,12833.1355,12.145666840524063,1.4300293805922615,1.1532495004776302
476,477,6627.957,6510.666,6887.562,7058.385,5693.054,6348.321,C18H18N2O3,311.139,21.45,1.24,0.002,1/1,5780.821,8.241504053929658,6771.1425,3.6616078391483806,1.1713115662982818,0.9446061018534531
477,478,5926.674,4884.676,5454.364,8442.721,7082.031,6109.538,C22H30FN3O7,468.2137,16.96,1.04,0.205,1/1,5853.26975,18.687717730119527,6177.108749999999,25.40569346966275,1.0553261704707866,1.0147367023757563
478,479,14325.183,13370.148,13900.994,14772.332,12060.19,12269.785,C20H32O2,305.2476,26.0,1.13,0.152,1/1,12711.825,5.3293696267753665,14092.16425,4.247382275229771,1.108587024286442,0.9810504639703027
479,480,25579.344,26713.502,28540.521,26494.146,27503.986,28610.752,C12H10N2O,199.0867,3.35,1.16,0.014,1/1,27986.16025,2.34359094134539,26831.87825,4.623160641779252,0.9587552565379168,0.8265131521878594
480,481,54582.495,49385.454,53923.811,54426.161,52918.692,50810.702,C20H19N3O,318.1601,16.79,0.93,0.003,1/1,52230.7815,2.5760689848414895,53079.48025,4.669721819872552,1.0162490149606511,1.0927408763017754
481,482,23028.269,22391.19,20623.473,21698.707,22144.996,21836.486,C11H14ClN,196.0887,4.55,0.9,0.115,1/1,22071.78675,2.621819127448806,21935.40975,4.693082936353966,0.993821207066528,1.1042457856294756
482,483,16882.371,17157.013,17628.307,17934.107,14161.837,14341.071,C16H14N2O3,283.1076,21.3,1.12,0.167,1/1,14031.693,1.931978945692524,17400.4495,2.704493130048845,1.2400819701514278,1.1072160447780606
483,484,4406.199,5383.027,4805.104,4893.869,4781.495,3772.923,C23H36O3,361.2734,32.55,1.1,0.24,1/1,4310.724749999999,9.624544263763125,4872.049749999999,8.236331324835223,1.1302159225081583,1.027469020461962
484,485,4722.157,5073.109,4989.603,5236.312,4194.562,4166.844,C13H18Br2N2O,378.9834,4.48,1.15,0.126,1/1,3852.7827500000003,9.964856453315619,5005.295249999999,4.290894530609802,1.2991376817184928,1.1296849406247764
485,486,791.289,1064.118,1013.181,1037.558,623.521,639.784,C20H21N5O6,428.1557,3.75,1.44,0.022,1/1,678.5992500000001,10.363158124336081,976.5364999999999,12.824702875275767,1.439047420108407,0.9993384861863938
486,487,9288.153,9420.552,9031.012,8709.013,8905.678,9464.054,C11H12N2O2,205.0969,3.09,1.05,0.21,1/1,9411.39975,4.454292348343306,9112.1825,3.4424608185341485,0.9682069343617032,0.9221018422492412
487,488,12899.9,13568.962,14747.218,15557.31,11178.932,12101.188,C21H17Cl3N4OS,479.0259,28.99,1.25,0.038,1/1,11072.259250000001,7.095375901920631,14193.3475,8.366161740444348,1.281883595707895,1.025506876566316
488,489,2128.578,2423.967,2310.614,2270.348,2137.739,2075.326,C29H36O10,545.238,8.77,1.01,0.869,1/1,2124.59325,1.796611600493335,2283.37675,5.34223937250942,1.0747359523993594,1.0640950023756033
489,490,7860.102,7478.707,7197.903,7054.57,6248.396,6607.825,C27H44O3,417.336,34.55,1.22,0.018,1/1,6604.226250000001,3.8012413635470526,7397.8205,4.798455037215684,1.1201646067167974,0.9181677104236045
490,491,40643.49,41243.57,40894.062,40937.297,35430.575,34025.152,C20H28O6,365.1963,21.03,1.01,0.644,1/1,36536.573000000004,6.039216153045657,40929.60475,0.6013799316451482,1.1202365572162445,1.1091451061546975
491,492,2339.887,2433.247,2388.987,2506.789,1897.543,1951.456,C17H17ClFN3O3,366.1014,3.95,1.34,0.003,1/1,1901.6275,5.021299686284355,2417.2275,2.930829626871104,1.2711361715162406,0.948609083221075
492,493,1003.59,887.837,764.982,719.752,897.963,839.764,C14H25N3O9,380.1688,4.76,0.91,0.037,1/1,957.7339999999999,11.072287813293089,844.04025,15.15281543799343,0.881288802527633,0.9684492335468494
493,494,2490.862,2338.984,2650.014,2427.819,1784.157,1710.148,C16H16O5,289.1077,4.73,1.41,0.003,1/1,1763.817,2.0340884915905377,2476.91975,5.2944823267193755,1.4042952018264934,0.9959540438485769
494,495,11570.55,12026.245,11821.617,12512.896,12695.03,13013.571,C19H20FN3O3,358.1569,3.53,1.34,0.012,1/1,12327.871500000001,5.064053105911196,11982.827,3.334002239541088,0.9720110239630578,0.725381361166461
495,496,28.618,21.519,21.275,19.894,26.258,14.897,C8H12N4S3,261.0315,25.77,1.45,0.058,1/1,20.38575,23.495503841065375,22.826500000000003,17.202526595941116,1.1197282415412728,0.77222637347674
496,497,89688.139,81017.274,113230.091,106823.923,79822.957,74905.586,C25H21F3N4O3S,515.1372,31.31,1.08,0.447,1/1,77124.02125,2.633853281001904,97689.85675,15.262682030695432,1.2666592738121782,1.172832660937202
497,498,35754.403,35747.975,36223.007,35425.515,32089.591,33712.432,C23H33N5O2,412.2705,3.97,1.15,0.129,1/1,31757.0985,4.686746838795152,35787.725,0.9173738623371955,1.126920489918183,0.9799308607984202
498,499,24560.307,27489.508,28208.795,28567.54,25092.588,26173.454,C25H24N4O2,413.1973,4.48,1.2,0.052,1/1,24708.02425,4.722925867916108,27206.5375,6.690327968309896,1.1011215313988532,0.917601276165711
500,501,61048.337,58105.361,62972.405,68264.411,52073.257,56007.572,C27H28N4O3S2,521.1677,26.4,1.11,0.158,1/1,56366.974749999994,6.231228770919072,62597.6285,6.829754313153494,1.1105373097923799,1.0004840628760179
501,502,10299.197,10758.065,11362.876,12832.688,9747.343,10149.178,C26H24ClN3O3,462.1573,8.01,1.16,0.121,1/1,9875.1145,4.654276330477577,11313.2065,9.746810593303454,1.1456278810741891,0.9876102423053356
502,503,16004.787,15054.402,16588.63,16899.283,12902.314,11876.129,C22H30N4O,367.2488,3.78,1.26,0.026,1/1,12743.80825,4.921707513045727,16136.7755,5.027545067482345,1.26624437400806,1.0049558523873492
503,504,12944.039,11722.706,11357.563,12922.509,10163.084,10148.583,C14H10F3N5O2,338.0857,15.99,1.37,0.02,1/1,10347.669,3.2190933035741347,12236.70425,6.6854094538033815,1.1825565980125574,0.8631799985493119
504,505,92720.152,116637.874,96194.487,105243.152,101490.479,113007.247,C24H23N5OS,430.1698,30.36,1.12,0.27,1/1,105786.976,4.775844384002033,102698.91625000001,10.406376224525223,0.970808696242532,0.8667934787879749
505,506,25274.78,25456.284,32089.927,35053.215,42734.267,39324.811,C16H16N2OS,285.1058,17.91,0.71,0.063,1/1,44354.72425,9.755966262799621,29468.551499999998,16.595092975121084,0.6643836028357227,0.9357515532897503
506,507,28835.89,29091.286,29587.822,30481.622,23174.42,25253.014,C16H14N2O2S2,331.0568,25.99,1.22,0.05,1/1,24591.26375,3.8834389408743086,29499.155,2.4596495150710984,1.1995786511785105,0.9832611894905824
507,508,13027.546,13732.096,14141.25,14712.601,10182.92,10587.551,C23H22N6O2,415.1872,4.16,1.25,0.015,1/1,10003.01,5.013078207668541,13903.37325,5.0991456939844495,1.3899189593932226,1.111935167514578
508,509,6623.291,6681.408,6669.174,7024.741,5025.649,5501.957,C16H10N2O2,263.0815,14.1,1.32,0.012,1/1,5503.284750000001,7.182396168463062,6749.6535,2.7422160144723122,1.2264772416146557,0.9291494254656482
509,510,11594.268,11892.405,12801.44,13248.881,9265.003,9399.943,C18H14N2O4,323.1025,13.83,1.4,0.002,1/1,8713.13975,8.232429634399471,12384.248500000002,6.233141592383739,1.4213301812357595,1.0152358437398283
510,511,63605.281,60422.606,69704.35,65373.944,46556.885,50314.514,C18H21F3N6O2,411.1751,5.07,1.5,0.0,1/1,46376.65275,6.129031253874757,64776.54525000001,5.9769166658681785,1.3967490409277115,0.931166027285141
511,512,7117.786,6866.604,6985.123,7325.64,6426.869,6186.288,C17H11F6N7O,444.0999,24.59,1.09,0.13,1/1,6166.32275,3.1458920364748066,7073.78825,2.7816376916693804,1.1471647749868428,1.052444747694351
512,513,18426.777,18235.513,18300.635,18461.503,18356.015,17476.635,C31H29N5O6S,600.1912,31.59,1.08,0.159,1/1,17378.5635,6.120422581031734,18356.106999999996,0.5775897200291086,1.0562499599003103,0.9780092221299169
513,514,29529.305,29219.99,26880.123,25982.74,23634.389,24533.192,C21H27N7O,394.235,9.26,1.13,0.005,1/1,24391.546499999997,2.1363204440902512,27903.039500000003,6.246240431189647,1.1439635244120336,1.0123571012495873
514,515,21944.643,20917.729,19082.571,19774.899,21227.771,21415.801,C18H14Cl2N2O2,361.0507,27.34,1.02,0.673,1/1,21244.266,0.9781397972006991,20429.9605,6.176435130260141,0.9616693982272676,0.942813135516929
515,516,73852.087,71688.133,72635.183,88277.301,83671.314,82531.266,C19H20ClN3,326.1419,9.75,0.88,0.236,1/1,84986.5915,4.105032147015858,76613.176,10.215427689007338,0.9014736871757001,1.0244019172451138
516,517,24260.114,25729.366,25724.106,25617.448,19929.186,21025.736,C19H23N3O3,342.1811,13.7,1.28,0.0,1/1,19671.84875,5.689710272845265,25332.758500000004,2.8301417551921877,1.2877670432475241,1.0060680025371282
517,518,105352.217,113565.849,99102.173,96146.219,103435.55,94927.613,C31H32N6O2,521.2672,31.43,0.92,0.231,1/1,100134.40875,4.050758349197847,103541.6145,7.442768446251089,1.0340263231443907,1.123941655591729
519,520,65428.789,69208.162,63592.073,63345.621,51332.163,54814.788,C17H13ClN4,309.0906,31.08,1.2,0.04,1/1,53703.0465,3.3343115822558738,65393.661250000005,4.14032557518003,1.2176899731377437,1.0147416442814532
520,521,3709.992,4104.3,4186.896,4175.129,3200.683,3262.223,C16H10BrN3O2,356.0027,26.07,1.17,0.117,1/1,3258.7419999999997,7.708400767352162,4044.07925,5.580816214454606,1.2409939940013661,1.0606786273515951
521,522,5771.753,9157.25,11174.425,11693.15,6556.921,6082.36,C23H30N8O3S,499.226,4.01,1.16,0.491,1/1,6478.266750000001,4.608387504103745,9449.1445,28.410599171133573,1.4585914511778941,1.2574064234292193
522,523,183593.53,179372.211,146421.339,179529.151,163735.047,156524.898,C22H21Cl2IN4O,555.0219,31.84,0.98,0.9,1/1,170270.13475000003,7.098365939687522,172229.05775000004,10.053907311065382,1.0115047950298284,1.0321477500304372
523,524,20346.453,22587.825,22776.082,23448.772,18317.48,18655.669,C21H28N6O2,397.2345,4.54,1.14,0.099,1/1,18698.49325,1.7587843382188546,22289.783,6.044168616945858,1.1920630556689373,1.0456693470780154
524,525,13174.111,14505.816,14245.151,14230.343,11518.602,12130.267,C18H17Cl2FN4OS,427.0553,13.59,1.22,0.031,1/1,11813.1925,2.117261372387489,14038.85525,4.204151749849654,1.188404849070224,0.9741023353034622
525,526,52800.328,51528.677,55204.999,56210.262,43601.679,43723.081,C22H24N8OS,449.1868,26.52,1.2,0.012,1/1,44441.79,3.1221849279143212,53936.0665,3.9862126015308843,1.2136339805394878,1.0113616504495733
526,527,4514.811,4436.497,4710.513,3828.858,8215.194,9000.051,C22H29N7O5,472.2292,16.45,0.55,0.004,1/2,8783.7655,4.321938450398711,4372.66975,8.69983996332428,0.4978126692931409,0.905113944169347
527,528,23048.626,25724.926,20630.053,23216.751,21649.485,21496.392,C21H16FN7O,402.1474,8.46,1.07,0.233,1/1,21451.783000000003,0.8269710661585278,23155.089,8.988374380524256,1.0794016049854689,1.0087865467153914
529,530,53850.021,53179.83,53408.463,56584.831,45831.302,48110.546,C18H17F2N3O2,346.1363,26.0,1.1,0.309,1/1,47991.36625,4.145228763195726,54255.786250000005,2.907371057791496,1.130532228804801,1.027756571640728
530,531,4631.132,4770.582,5493.197,4618.65,3903.102,3940.491,C30H27BrN4O2,555.1387,15.97,1.09,0.298,1/1,4113.323,6.595833922016841,4878.39025,8.519544938025975,1.185997367578476,1.0880709794297945
531,532,11839.637,12157.577,13290.861,13204.382,6226.692,7512.202,C19H16N8O,373.1515,3.96,1.44,0.017,1/1,5266.51425,36.530316110074075,12623.114249999999,5.811223778747658,2.3968632098546014,1.6644883401768067
532,533,1619.92,1983.859,2515.034,3018.347,1693.338,1360.4,C25H23N5O2S,458.1645,8.85,1.2,0.32,1/1,1809.9629999999997,19.593283968805444,2284.29,26.792848060234007,1.2620644731411639,1.0517203942843032
533,534,7083.162,7446.04,7548.679,7136.935,6756.348,6651.131,C19H18N2O5S2,419.0728,28.43,1.07,0.392,1/1,6767.76,1.2779186869500228,7303.704000000001,3.1294104050488123,1.0791907514450867,1.0085894873318566
534,535,3624.772,3770.256,3602.215,4496.726,2862.126,3334.25,C13H9Cl2N5,306.0306,8.32,1.2,0.011,1/1,3199.0547500000002,8.06586722998653,3873.4922500000002,10.897407379698528,1.2108239941814063,1.009019995151172
535,536,4121.275,4660.647,4267.951,3517.232,4512.443,3905.423,C19H17N3O3,336.134,6.05,0.92,0.11,1/1,4317.0795,6.9360734984294385,4141.77625,11.45789583852577,0.9593930920197323,1.0428185782823176
536,537,25784.241,28514.73,30207.254,30249.714,23220.086,19742.647,C24H25N5O3S,464.1748,9.66,1.28,0.17,1/1,23257.455749999997,10.954361232238826,28688.984750000003,7.314048226904757,1.2335392597704935,0.963702546695698
537,538,4617.226,4999.231,4615.038,4130.225,3441.423,3434.007,C29H29N7O2,508.2454,4.38,1.4,0.026,1/1,3320.735,4.272119688685096,4590.43,7.755494009860778,1.382353605451805,0.9873954324655752
538,539,19807.857,21256.739,22144.493,22162.707,15831.225,17247.238,C26H24F4N6O,513.2039,8.72,1.28,0.044,1/1,16012.252499999999,7.692604511218878,21342.949,5.188183670331987,1.332913592263175,1.0413387439556054
539,540,31614.732,32065.339,36169.035,39380.432,30677.291,30658.383,C21H17FN2O2,349.1349,8.29,1.16,0.102,1/1,29098.34275,7.009627835932592,34807.3845,10.553129194550895,1.196198175238004,1.0312053234810379
540,541,11573.279,12502.28,12323.075,12526.258,9338.253,10198.497,C26H29N5O2,444.2392,7.63,1.26,0.002,1/1,9642.1465,4.018534448766475,12231.223000000002,3.661943917809142,1.26851661090194,1.0067592150015396
541,542,84082.156,86475.731,90876.406,78411.506,64510.953,67014.394,C22H19ClN4O5,455.1119,12.93,1.49,0.039,1/1,64056.579,3.466863922121868,84961.44975,6.1141829138121935,1.3263500966856192,0.8901678501245767
542,543,28893.855,34594.211,28092.17,33189.313,25012.523,37315.982,C25H52NO4P,462.3703,32.9,0.93,0.539,1/1,32490.901,21.228414920959338,31192.38725,10.2145215016996,0.9600345416706049,1.0322952060974246
543,544,105539.95,106865.95,99945.698,105511.098,101612.565,98285.299,C20H19N5,330.1715,14.6,1.16,0.003,1/1,96371.2255,4.849627537474972,104465.674,2.9472638319138964,1.0839923790322663,0.9344761888209193
544,545,68467.726,65837.528,60378.053,60051.894,65371.672,60710.117,C18H25NO3Si,332.168,32.19,1.03,0.691,1/1,63697.87225,4.3634548010806355,63683.80025000001,6.515038098315443,0.9997790821026994,0.9706593030123295
545,546,14197.077,15034.927,16048.208,16395.618,13749.697,12786.621,C25H23N5O2,426.1921,3.9,1.21,0.004,1/1,13892.491,6.582715996011049,15418.9575,6.475022107074664,1.1098770911566544,0.9172537943443425
546,547,25102.727,22686.35,22420.683,25765.226,20682.081,21366.499,C21H18F3N3O3S2,482.0816,29.6,1.13,0.296,1/1,20857.2255,4.0380895777372245,23993.746499999997,7.0367134314900746,1.150380547978445,1.0180358831667655
547,548,164102.064,156843.368,164303.49,160620.855,152210.1,165039.883,C32H36N6O4,569.2876,19.44,1.06,0.429,1/1,153456.973,5.7334328421417275,161467.44425,2.1774231441254948,1.0522001124706142,0.9926416155383152
548,549,8748.917,8622.868,8564.043,9191.08,7764.843,7645.611,C16H13FN2O2,285.1035,14.97,1.2,0.002,1/1,7539.5415,2.6255192972358223,8781.727,3.2293126600901756,1.164756106190277,0.9706300884918975
549,550,105033.147,106885.47,105277.444,106808.75,83956.027,99236.63,C16H14IN3O2,408.0206,9.38,1.39,0.079,1/1,78033.23000000001,22.274848963015927,106001.20275,0.9267324030046126,1.358411060903156,0.9772741445346448
550,551,40222.77,41765.636,44428.323,43374.744,35338.611,36206.409,C16H15N3O2,282.1237,4.68,1.3,0.022,1/1,35309.3915,2.5177752225698895,42447.86825,4.343469651878187,1.2021693506103044,0.9247456543156187
551,552,9253.209,9788.806,11320.052,11952.68,10709.867,10259.591,C12H21N3O2,240.1703,15.25,0.97,0.632,1/1,10332.218,2.855473325315403,10578.68675,11.97991554447289,1.0238543892511753,1.0555199889187374
552,553,8131.434,7895.675,7228.412,7146.131,6754.794,7080.165,C24H16F3NO4,440.11,31.22,1.14,0.077,1/1,6842.638500000001,3.3039973992959046,7600.4130000000005,6.418401834205159,1.1107430269770937,0.974335988576398
553,554,39604.25,39252.686,37716.409,37416.02,34899.706,34023.242,C19H16ClNO4,358.0844,30.61,1.1,0.024,1/1,34705.015,1.3262681457572036,38497.34125,2.8355727702933184,1.1092731482755445,1.0084301347959495
554,555,4716.64,4908.301,4870.716,5522.889,4317.452,4196.989,C22H19FN4O2,391.1563,4.47,1.29,0.023,1/1,4004.8697500000003,8.705049169045061,5004.6365000000005,7.099684743688036,1.2496377691184588,0.9687114489290378
555,556,6766.431,6465.918,7139.473,7431.14,6380.961,6447.251,C22H24Cl2N2O4,451.1183,27.63,1.24,0.007,1/1,6217.5517500000005,4.350982393681317,6950.7405,6.077965387524816,1.1179224201873348,0.9015503388607539
556,557,59413.763,55302.137,61393.934,56446.491,47700.551,51776.295,C18H24N6O,341.2086,6.04,1.17,0.171,1/1,50685.47125,4.569232399581297,58139.08125,4.776147687983919,1.1470561448119119,0.9803898673606085
557,558,1130.009,1302.35,1099.448,1177.578,1022.024,1009.922,C9H11NOS,182.0631,5.21,1.26,0.091,1/1,970.89275,7.248294658304301,1177.34625,7.586673146537029,1.2126429515515489,0.9624150409139277
558,559,21827.719,20414.525,22672.971,23903.423,16807.184,15949.346,C16H15N3O3,298.1184,3.92,1.39,0.022,1/1,16581.79125,4.099012652147726,22204.6595,6.604424624508319,1.3390989649565155,0.9633805503284285
559,560,49832.302,48107.386,48911.014,51430.116,43688.924,45632.401,C25H27N5O5,478.2084,24.44,1.01,0.924,1/1,46368.935249999995,4.62513656107945,49570.2045,2.8771779226007124,1.0690390933658545,1.0584545478869847
560,561,26789.641,27688.832,31696.35,32045.111,25036.579,27119.805,C15H12N2O,237.1024,22.5,1.14,0.026,1/1,25499.318,5.854927033630506,29554.983500000002,9.145081357209712,1.1590499596891182,1.0167104909553668
561,562,7901.578,7130.507,7218.399,6803.614,6243.872,6455.445,C29H24ClN3O3S,530.1298,29.16,1.24,0.069,1/1,5936.7185,8.427675971765632,7263.5244999999995,6.350746344356341,1.2234914793416598,0.9866866768884354
562,563,184116.776,168624.082,169332.699,165489.698,146998.081,143374.188,C32H36N2O3,497.2799,31.43,1.3,0.026,1/1,157781.15325,9.27369118089176,171890.81375,4.840243743621164,1.0894255125492942,0.8380196250379186
563,564,23421.402,23572.118,24659.642,29558.966,22773.683,22949.867,C15H23N5O2S,338.1645,3.27,1.27,0.027,1/1,21558.413,7.195524257438003,25303.032,11.423201485813431,1.173696412625549,0.9241704036421645
564,565,22245.244,23905.959,23063.109,24196.004,17906.207,18755.166,C17H16N4O2S,341.1067,5.45,1.38,0.018,1/1,17667.868749999998,4.810571917260722,23352.578999999998,3.771870057652288,1.3217541589446096,0.9577928688004418
565,566,887.097,916.754,929.499,966.27,760.419,685.907,C15H14O3S2,307.0456,27.23,1.26,0.045,1/1,766.24125,9.598556816291476,924.9050000000001,3.5466022725019397,1.2070676174116182,0.9579901725489033
566,567,29825.854,29340.125,27263.31,26869.46,25516.593,27304.639,C27H24N2O5,457.1759,27.47,1.05,0.076,1/1,27087.004999999997,4.163829128787042,28324.687250000003,5.208248672084303,1.0456928423795842,0.9958979451234135
567,568,81964.683,78874.25,84404.1,86798.409,72406.614,74776.671,C19H17NO3,308.1283,16.75,1.1,0.107,1/1,75835.939,4.119660924290815,83010.36050000001,4.084797170569468,1.0946045053915665,0.995095004901424
568,569,93924.556,87829.947,86718.686,91256.194,78277.567,77216.733,C20H24FN5O3,402.1935,26.49,1.07,0.3,1/1,82166.1215,6.3168892059359205,89932.34575000001,3.6563732962766617,1.0945185693108324,1.0229145507577873
569,570,236387.512,202066.976,216170.973,256773.507,227046.44,228232.629,C24H30ClN7O2S,516.1946,9.53,0.94,0.522,1/1,233240.612,3.2869375502920315,227849.742,10.480159794708777,0.9768870868851948,1.0392415817927605
570,571,6950.512,7143.597,7169.734,7026.505,6595.979,5696.736,C11H10N2O2S,235.0535,13.03,1.17,0.135,1/1,6153.67575,6.175020326778167,7072.587,1.448960147708653,1.1493272130888599,0.982330951358
571,572,58993.532,59959.366,57233.863,59345.796,65450.797,60153.589,C24H28N8O2,461.2409,12.96,1.04,0.679,1/1,58194.13675,9.891650531602426,58883.13925,1.9864817420986045,1.011839723698625,0.9729228112486779
572,573,5564.447,5424.273,5663.382,5621.175,4678.482,4907.818,C17H12BrFN2O3,391.0085,21.21,1.13,0.056,1/1,4673.19575,4.84537141112789,5568.31925,1.8719341185678553,1.1915441911458555,1.0544638859697837
573,574,30289.79,29350.647,35267.089,34632.941,27067.737,28593.455,C34H36FN5O2,566.2918,25.45,1.2,0.012,1/1,26902.994000000002,4.608234162565832,32385.11675,9.256114287056175,1.2037737045177945,1.0031447537648288
574,575,83971.842,92535.027,89654.006,93048.266,70663.819,73510.033,C22H18FN3O2,376.1458,13.1,1.36,0.013,1/1,70207.9945,3.7497860104800704,89802.28525,4.637015091720186,1.2790891676873066,0.940506740946549
575,576,12507.751,13291.045,13988.894,13984.775,11441.033,11597.975,C22H30N4O6,447.2234,21.8,1.13,0.014,1/1,11354.356999999998,1.9519018190584672,13443.116250000001,5.241199765158369,1.1839610336366915,1.0477531271121165
576,577,9403.884,8840.592,7465.963,8046.464,7766.474,8361.029,C18H13ClF6N2O3,455.0587,31.14,1.03,0.502,1/1,8184.458750000002,3.5655249538868743,8439.225750000001,10.131463442689567,1.0311281427131636,1.0010952841875373
577,578,26331.729,24434.819,28608.243,31939.861,32916.014,33309.132,C19H21F3N6,391.1853,4.81,0.86,0.099,1/1,30023.791999999998,11.96332222495544,27828.663,11.601170836717488,0.9268870168032074,1.077775600933962
578,579,19716.074,21528.226,21925.016,22153.775,16082.627,17135.235,C28H25FN6O3,513.2046,8.74,1.27,0.034,1/1,16045.7605,7.402919209372421,21330.772750000004,5.189932846981334,1.3293712535470041,1.046749018540948
579,580,105011.001,105424.563,105098.591,102543.357,103381.245,102085.52,C23H24N6,385.2137,10.3,1.0,0.938,1/1,101486.2745,2.29128582238413,104519.37800000001,1.2718316855498597,1.0298868345985053,1.0298868345985053
580,581,21129.496,19846.819,22892.868,22415.0,16090.56,16508.382,C18H17N3O4S,372.101,5.0,1.29,0.0,1/1,16301.10125,2.748918285049238,21571.04575,6.349242963957479,1.3232876367785276,1.0258043695957577
581,582,173612.231,180889.957,197934.573,193120.236,143827.796,189081.813,C21H27N3O3,370.2127,14.35,1.06,0.37,1/1,178711.33524999997,13.062830846562596,186389.24925,5.975104228244437,1.0429626581283127,0.9839270359701062
582,583,14258.073,14864.147,16143.682,18041.373,17732.295,15049.101,C25H28Cl2N4O2,487.1662,4.05,1.0,0.982,1/1,17038.103,8.041597118935929,15826.81875,10.567873707410671,0.9289073290612224,0.9289073290612224
583,584,77368.4,79922.718,80101.652,79851.963,70002.973,74968.245,C16H14BrN3O2,360.0343,7.95,1.21,0.001,1/1,70430.99650000001,4.4878637817567695,79311.18325,1.6384122265888836,1.126083502879304,0.930647523040747
584,585,7637.638,7740.238,8867.979,9437.448,8060.75,8669.687,C21H19FN4O,363.1613,22.46,1.07,0.277,1/1,7757.20175,10.055533708392534,8420.82575,10.420662758094924,1.085549405750598,1.014532154907101
585,586,71984.695,56752.168,51879.385,62637.779,66835.197,72553.707,C23H17FN6O2,429.147,17.75,0.85,0.133,1/1,69146.42474999999,3.582830131669286,60813.50675000001,14.222829102366251,0.8794888090002082,1.0346927164708333
586,587,3108.024,2979.127,2884.763,3138.884,2225.223,1606.678,C21H19F4N7,446.1704,5.57,1.4,0.06,1/1,1953.096,13.117776368223891,3027.6995,3.8895102984614414,1.5502051614462373,1.1072894010330268
587,588,1727.487,2153.058,2280.073,2230.657,960.764,1242.859,C20H15NO3,318.1124,21.8,1.92,0.05,2/1,870.50475,33.504605266440244,2097.8187500000004,12.0297286989201,2.4098877691362404,1.2551498797584586
588,589,66774.326,72363.429,76413.858,71288.694,64108.162,65702.522,C20H23ClFNO,348.1527,13.34,1.15,0.053,1/1,68925.721,6.963101434011533,71710.07675000001,5.524984053554555,1.0403964689756384,0.9046925817179465
589,590,92530.001,89062.849,99542.277,92938.051,87324.933,82830.351,C21H21N5,344.1871,4.59,1.09,0.243,1/1,85841.82775,2.5134825949506103,93518.29449999999,4.679487235685959,1.0894257141443495,0.9994731322425224
590,591,28583.566,29960.416,30606.168,31336.529,23877.57,24723.757,C21H16FN3OS,378.107,3.93,1.33,0.015,1/1,23394.63325,4.935903990096851,30121.66975,3.882206822260126,1.2875461405234896,0.9680798049048793
591,592,14591.722,14933.383,15265.385,17841.653,10602.786,11685.75,C18H17N5O3S,384.1122,8.27,1.6,0.001,1/1,9887.669,15.526662837164235,15658.03575,9.46158021446642,1.5835922248206327,0.9897451405128954
592,593,14362.638,14764.049,14907.304,13557.891,12840.27,13579.787,C16H12F3NOS,324.0665,29.18,1.08,0.013,1/1,13278.235499999999,2.4643588386745785,14397.9705,4.2064579147171415,1.0843285992329328,1.0040079622527154
593,594,13387.422,13835.291,14247.06,13755.174,12094.254,12478.733,C16H13NO2,252.102,25.7,1.17,0.001,1/1,12492.8935,2.293973836759548,13806.23675,2.5546104431098753,1.1051272269310548,0.944553185411158
594,595,73827.445,73796.234,80753.227,83984.206,69777.943,69899.14,C16H13ClFN3O2,334.0755,7.09,1.19,0.055,1/1,71193.07925,2.2178309161795213,78090.278,6.548048249744815,1.0968801858644148,0.9217480553482478
595,596,16134.764,15586.972,13976.781,17440.073,13772.788,15978.257,C23H28N8OS,465.2193,32.46,0.96,0.776,1/1,14623.705249999999,8.89940158735268,15784.6475,9.085810593304307,1.0793876948525067,1.1243621821380279
596,597,361776.654,366556.874,373634.666,435745.716,367831.365,364651.397,C26H34N2O5Si,483.2316,32.54,1.0,0.988,1/1,375752.17175,2.98568987310123,384428.4775,8.989070324223892,1.0230905006073328,1.0230905006073328
597,598,10963.26,11616.989,11281.61,12718.522,8492.875,8762.599,C15H18BrN7,376.0875,3.62,1.37,0.003,1/1,8423.12225,5.628960294786336,11645.095249999998,6.558768068461903,1.3825152840444643,1.009135243828076
