Compound Name,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio
870,C12H7N3O2S,258.033,6.47,1.24,0.057,1/1
871,C7H15N,114.1272,12.27,5.6,0,4/1
872,C26H22FN7O3,500.1895,24.3,1.12,0.007,1/1
873,C17H18F3N3O3,370.1372,28.2,1.09,0.043,1/1
874,C20H21FN6O5,445.1603,5.19,1.23,0.005,1/1
875,C22H24N2O8,445.1602,5.04,1.22,0.008,1/1
876,C20H22O8,390.1269,26.82,0.96,0.665,1/1
877,C25H27NO2,374.2115,18.62,1.12,0.037,1/1
878,C18H17NO4,312.1239,5.66,1.17,0.28,1/1
879,C18H17NO4,312.123,21.07,1.12,0.011,1/1
880,C18H16FN3O,310.1342,16.66,1.14,0.161,1/1
881,C36H39NO5,566.2917,7.64,0.8,0.036,1/1
882,C19H20N2O2,309.1599,4.49,0.66,0.012,1/1
883,C11H6F3NO2S,274.0156,32.07,0.83,0.482,1/1
884,C20H16N6S,373.1286,27.24,1.12,0.323,1/1
885,C24H23N3O5,434.1701,12.85,1.13,0.022,1/1
886,C34H34F2N4O6,633.2555,31.02,1.09,0.41,1/1
887,C9H9N3O2,192.0781,6.96,1.23,0.035,1/1
888,C9H9N3O2,192.075,20.46,1.19,0.089,1/1
889,C21H20N4O3,377.1599,22.6,1.2,0.003,1/1
890,C26H33NO2,392.2585,28.8,1.08,0.425,1/1
891,C8H10FN3O3S,248.05,2.1,1.11,0.458,1/1
892,C8H10FN3O3S,248.0487,23.07,1.17,0.566,1/1
893,C29H31N7O,494.2657,18.22,1.04,0.445,1/1
894,C12H22O11,343.1204,7.98,1.42,0.003,1/1
895,C18H18N2O3,311.143,4.19,1.36,0.006,1/1
896,C18H18N2O3,311.1379,6.98,1.29,0.011,1/1
897,C11H14ClN,196.0888,3.48,1.08,0.31,1/1
898,C16H14N2O3,283.1076,31.16,1.46,0.004,1/1
899,C14H25N3O9,380.1665,27.49,0.93,0.698,1/1
900,C16H16O5,289.1067,3.09,1.48,0.005,1/1
901,C16H16O5,289.1081,7.33,1.49,0.054,1/1
902,C16H16O5,289.1071,9.39,1.38,0.015,1/1
903,C26H24ClN3O3,462.1575,14.43,1.17,0.032,1/1
904,C16H16N2OS,285.1086,4.04,1.22,0.014,1/1
905,C16H16N2OS,285.1037,14.93,1.2,0.001,1/1
906,C16H10N2O2,263.0813,10.83,1.15,0.118,1/1
907,C17H11F6N7O,444.1046,4.18,1.41,0.03,1/1
908,C21H27N7O,394.2313,12.81,1.18,0.082,1/1
909,C21H27N7O,394.237,31.46,0.1,0,1/16
910,C23H27ClO7,451.1514,12.96,1.16,0.193,1/1
911,C22H29N7O5,472.2297,3.53,1.07,0.433,1/1
912,C19H16N8O,373.1569,18.76,0.55,0,1/2
913,C19H16N8O,373.1569,31.66,0.9,0.452,1/1
914,C19H17N3O3,336.1341,24.35,1.12,0.097,1/1
915,C16H13FN2O2,285.1049,18.06,0.72,0.061,1/1
916,C15H12N2O,237.1023,11.36,1.18,0.183,1/1
917,C34H36FN5O2,566.2928,7.67,0.79,0.017,1/1
918,C22H18FN3O2,376.1408,13.95,1.26,0.008,1/1
919,C21H19F4N7,446.1698,6.48,1.32,0.007,1/1
920,C21H19F4N7,446.1721,8.9,1.27,0.023,1/1
921,C21H19F4N7,446.1655,14.91,1.27,0.008,1/1
922,C16H13NO2,252.1052,5.52,1.41,0.019,1/1
923,C16H13NO2,252.0994,8.69,1.12,0.147,1/1
924,C16H13NO2,252.102,13.46,1.17,0.108,1/1
925,C23H28N8OS,465.2177,5.64,0.94,0.474,1/1
926,C20H22N2O5,371.1599,9.46,1.09,0.309,1/1
927,C16H15NO2,254.1207,4.02,1.6,0.009,1/1
928,C17H15FN2O3,315.115,22.34,1.03,0.784,1/1
929,C17H15FN2O3,315.1139,24.49,1.02,0.787,1/1
930,C17H15FN2O3,315.1157,31.49,1.21,0.173,1/1
931,C20H31N3O2S2,410.1984,18.05,1.19,0.232,1/1
932,C24H27N5O3,434.2179,6.2,1.19,0.035,1/1
933,C24H27N5O3,434.2243,22.97,1.09,0.033,1/1
934,C25H30N6O,431.2612,12.4,0.52,0,1/2
935,C19H14F3N3O3,390.1058,25.99,1.17,0.086,1/1
936,C27H26N4O2S,471.1803,14.49,8.2,0,16/1
937,C24H25F3N6S,487.1856,5.37,1.43,0,1/1
938,C24H25F3N6S,487.1857,8.63,1.15,0.045,1/1
939,C19H16N2O2S2,369.0726,5.41,0.85,0.347,1/1
940,C19H24N8,365.2162,6.54,1.17,0.229,1/1
941,C21H21N3O2S,380.1426,14.74,1.17,0.005,1/1
942,C26H27N5O2,442.2234,3.26,0.97,0.841,1/1
943,C26H27N5O2,442.2304,6.77,1.12,0.01,1/1
944,C22H22FN3O3,396.1664,6.42,1.59,0.005,1/1
945,C22H22FN3O3,396.1702,6.59,1.16,0.096,1/1
946,C19H23N9O,394.2097,12.15,1.13,0.11,1/1
947,C19H23N9O,394.2107,16.64,1.15,0.141,1/1
948,C23H25N3O3S,424.1735,26.49,0.95,0.233,1/1
949,C26H35N7O2S,510.2641,3.81,1.05,0.512,1/1
950,C12H15N3O2,234.1239,1.98,1.12,0.077,1/1
951,C18H18N4,291.1604,2.28,1.16,0.379,1/1
952,C15H13N5OS,312.0905,31.29,1.19,0.013,1/1
953,C15H19N7O3S,378.1369,13.64,1.2,0.01,1/1
954,C15H19N7O3S,378.1343,27.97,1.21,0.139,1/1
955,C14H12N4OS,285.0803,23.68,1.03,0.713,1/1
956,C18H25N5S2,376.1572,22.71,1.26,0.001,1/1
957,C21H18FN5O,376.1621,9.52,1.3,0.066,1/1
958,C12H11NO3,218.0811,3.61,1.24,0.014,1/1
959,C19H16N2O5,353.1129,13.21,0.94,0.004,1/1
960,C23H20N6O,397.1746,10.36,1.29,0.063,1/1
961,C14H16N2O2S,299.0823,13.17,0.98,0.266,1/1
962,C20H12N2O3S,383.046,13.1,1.36,0.081,1/1
963,C20H12N2O3S,383.0469,19.03,1.16,0.023,1/1
964,C17H12N2O2,299.079,14.15,1.27,0.104,1/1
965,C17H12N2O2,299.0787,5.92,1.08,0.819,1/1
966,C17H12N2O2,299.0833,9.94,1.36,0.064,1/1
967,C17H12N2O2,299.0792,23.36,1.37,0,1/1
968,C19H26O3,325.177,5.99,1.27,0.044,1/1
969,C19H20N4O2,359.1428,17.25,0.97,0.692,1/1
970,C19H20N4O2,359.1496,31.72,1.2,0.052,1/1
