Compound Name,Compound formula,mz,RT,Fold change,Compound concentration ratio,p-value
869,C31H38N8O3,571.3095,14.79,1.24,1/1,0.062
870,C12H7N3O2S,258.033,6.29,1.24,1/1,0.057
871,C7H15N,114.1272,12.32,5.6,4/1,0
872,C26H22FN7O3,500.1895,24.39,1.12,1/1,0.007
873,C17H18F3N3O3,370.1372,28.14,1.09,1/1,0.043
874,C20H21FN6O5,445.1603,5.23,1.23,1/1,0.005
875,C22H24N2O8,445.1602,5.23,1.22,1/1,0.008
876,C20H22O8,390.1269,26.96,0.96,1/1,0.665
877,C25H27NO2,374.2115,18.53,1.12,1/1,0.037
878,C18H17NO4,312.1239,5.6,1.17,1/1,0.28
879,C18H17NO4,312.123,21.26,1.12,1/1,0.011
880,C18H16FN3O,310.1342,16.77,1.14,1/1,0.161
881,C36H39NO5,566.2917,7.75,0.8,1/1,0.036
882,C19H20N2O2,309.1599,4.42,0.66,1/1,0.012
883,C11H6F3NO2S,274.0156,32.26,0.83,1/1,0.482
884,C20H16N6S,373.1286,27.4,1.12,1/1,0.323
885,C24H23N3O5,434.1701,12.73,1.13,1/1,0.022
886,C34H34F2N4O6,633.2555,31.15,1.09,1/1,0.41
887,C9H9N3O2,192.0781,6.9,1.23,1/1,0.035
888,C9H9N3O2,192.075,20.56,1.19,1/1,0.089
889,C21H20N4O3,377.1599,22.76,1.2,1/1,0.003
890,C26H33NO2,392.2585,28.9,1.08,1/1,0.425
891,C8H10FN3O3S,248.05,2.01,1.11,1/1,0.458
892,C8H10FN3O3S,248.0487,22.93,1.17,1/1,0.566
893,C29H31N7O,494.2657,18.09,1.04,1/1,0.445
894,C12H22O11,343.1204,8.02,1.42,1/1,0.003
895,C18H18N2O3,311.143,4.12,1.36,1/1,0.006
896,C18H18N2O3,311.1379,7.1,1.29,1/1,0.011
897,C11H14ClN,196.0888,3.56,1.08,1/1,0.31
898,C16H14N2O3,283.1076,31,1.46,1/1,0.004
899,C14H25N3O9,380.1665,27.68,0.93,1/1,0.698
900,C16H16O5,289.1067,3.26,1.48,1/1,0.005
901,C16H16O5,289.1081,7.45,1.49,1/1,0.054
902,C16H16O5,289.1071,9.58,1.38,1/1,0.015
903,C26H24ClN3O3,462.1575,14.56,1.17,1/1,0.032
904,C16H16N2OS,285.1086,4.01,1.22,1/1,0.014
905,C16H16N2OS,285.1037,14.96,1.2,1/1,0.001
906,C16H10N2O2,263.0813,10.67,1.15,1/1,0.118
907,C17H11F6N7O,444.1046,4.05,1.41,1/1,0.03
908,C21H27N7O,394.2313,12.87,1.18,1/1,0.082
909,C21H27N7O,394.237,31.56,0.1,1/16,0
910,C23H27ClO7,451.1514,13.01,1.16,1/1,0.193
911,C22H29N7O5,472.2297,3.49,1.07,1/1,0.433
912,C19H16N8O,373.1569,18.85,0.55,1/2,0
913,C19H16N8O,373.1569,31.61,0.9,1/1,0.452
914,C19H17N3O3,336.1341,24.39,1.12,1/1,0.097
915,C16H13FN2O2,285.1049,18.04,0.72,1/1,0.061
916,C15H12N2O,237.1023,11.39,1.18,1/1,0.183
917,C34H36FN5O2,566.2928,7.75,0.79,1/1,0.017
918,C22H18FN3O2,376.1408,13.77,1.26,1/1,0.008
919,C21H19F4N7,446.1698,6.37,1.32,1/1,0.007
920,C21H19F4N7,446.1721,9.04,1.27,1/1,0.023
921,C21H19F4N7,446.1655,14.76,1.27,1/1,0.008
922,C16H13NO2,252.1052,5.53,1.41,1/1,0.019
923,C16H13NO2,252.0994,8.53,1.12,1/1,0.147
924,C16H13NO2,252.102,13.34,1.17,1/1,0.108
925,C23H28N8OS,465.2177,5.67,0.94,1/1,0.474
926,C20H22N2O5,371.1599,9.65,1.09,1/1,0.309
927,C16H15NO2,254.1207,4.11,1.6,1/1,0.009
928,C17H15FN2O3,315.115,22.32,1.03,1/1,0.784
929,C17H15FN2O3,315.1139,24.44,1.02,1/1,0.787
930,C17H15FN2O3,315.1157,31.59,1.21,1/1,0.173
931,C20H31N3O2S2,410.1984,18.19,1.19,1/1,0.232
932,C24H27N5O3,434.2179,6.07,1.19,1/1,0.035
933,C24H27N5O3,434.2243,22.78,1.09,1/1,0.033
934,C25H30N6O,431.2612,12.39,0.52,1/2,0
935,C19H14F3N3O3,390.1058,26.12,1.17,1/1,0.086
936,C27H26N4O2S,471.1803,14.58,8.2,16/1,0
937,C24H25F3N6S,487.1856,5.56,1.43,1/1,0
938,C24H25F3N6S,487.1857,8.46,1.15,1/1,0.045
939,C19H16N2O2S2,369.0726,5.56,0.85,1/1,0.347
940,C19H24N8,365.2162,6.51,1.17,1/1,0.229
941,C21H21N3O2S,380.1426,14.83,1.17,1/1,0.005
942,C26H27N5O2,442.2234,3.24,0.97,1/1,0.841
943,C26H27N5O2,442.2304,6.71,1.12,1/1,0.01
944,C22H22FN3O3,396.1664,6.29,1.59,1/1,0.005
945,C22H22FN3O3,396.1702,6.71,1.16,1/1,0.096
946,C19H23N9O,394.2097,12.35,1.13,1/1,0.11
947,C19H23N9O,394.2107,16.79,1.15,1/1,0.141
948,C23H25N3O3S,424.1735,26.33,0.95,1/1,0.233
949,C26H35N7O2S,510.2641,3.66,1.05,1/1,0.512
950,C12H15N3O2,234.1239,1.94,1.12,1/1,0.077
951,C18H18N4,291.1604,2.24,1.16,1/1,0.379
952,C15H13N5OS,312.0905,31.22,1.19,1/1,0.013
953,C15H19N7O3S,378.1369,13.77,1.2,1/1,0.01
954,C15H19N7O3S,378.1343,27.8,1.21,1/1,0.139
955,C14H12N4OS,285.0803,23.71,1.03,1/1,0.713
956,C18H25N5S2,376.1572,22.76,1.26,1/1,0.001
957,C21H18FN5O,376.1621,9.51,1.3,1/1,0.066
958,C12H11NO3,218.0811,3.79,1.24,1/1,0.014
959,C19H16N2O5,353.1129,13.34,0.94,1/1,0.004
960,C23H20N6O,397.1746,10.26,1.29,1/1,0.063
961,C14H16N2O2S,299.0823,13.34,0.98,1/1,0.266
962,C20H12N2O3S,383.046,13.06,1.36,1/1,0.081
963,C20H12N2O3S,383.0469,19.13,1.16,1/1,0.023
964,C17H12N2O2,299.079,14.19,1.27,1/1,0.104
965,C17H12N2O2,299.0787,6,1.08,1/1,0.819
966,C17H12N2O2,299.0833,10,1.36,1/1,0.064
967,C17H12N2O2,299.0792,23.27,1.37,1/1,0
968,C19H26O3,325.177,6.07,1.27,1/1,0.044
969,C19H20N4O2,359.1428,17.22,0.97,1/1,0.692
970,C19H20N4O2,359.1496,31.73,1.2,1/1,0.052
