Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
429,274.0144,24.86,14269.722862240227,12938.849783416485,10222.457498443517,15527.985607296978,24.86,13778.549484875788,11982.557461484905,10508.894144847927,12289.713751640682,C11H6F3NO2S,274.0144,24.86,1.22,0.187,1/1,13239.753937849302,17.163491990194185,12139.928710712324,11.043848743788427,0.9169300855363453,0.7515820373248732
431,365.1973,20.91,952887.2165244996,809877.4357409255,68048.50045126073,183189.93094571747,20.91,647370.2627883775,26855.80361276764,3945307.738649264,3160.372781812496,C21H24N4O2,365.1973,20.91,1.01,0.633,1/1,503500.7709156008,87.93057578464915,1155673.5444580554,162.9803162671846,2.2952766136911733,2.272551102664528
432,570.3554,11.9,7027291.6332686655,7577020.232764011,7052319.151540386,6796782.539722356,11.9,8413151.171199376,8359587.741803627,6920915.695370517,6606144.851417082,C33H43N7O2,570.3554,11.9,1.13,0.006,1/1,7113353.389323855,4.636575969195755,7574949.864947651,12.488145119931342,1.0648915427590857,0.9423818962469785
433,373.1233,4.09,255806.88753904545,169017.13377083372,484836.7627570927,444695.7934079509,4.09,774573.9521600857,516051.9335137631,731726.3099997009,70497.56053302978,C20H16N6S,373.1233,4.09,1.18,0.04,1/1,338589.1443687307,44.54840555005682,523212.4390516449,61.60326231741398,1.545272338920162,1.3095528295933576
434,308.1966,4.81,967799.5567659969,677651.4626920966,1166840.5518666424,1062784.018275814,4.81,853153.9867794085,220489.9341363013,1109170.548253178,11855.4114788213,C16H25N3O3,308.1966,4.81,1.07,0.19,1/1,968768.8974001375,21.719679599176878,548667.4701619272,94.27977510900674,0.5663553729216259,0.529304086842641
435,525.2641,3.78,3471303.929209968,3840779.748398557,2061664.9615036256,2182295.1044380507,3.78,2479778.099703697,3245544.953228493,1298141.6120623157,3069629.995315876,C27H36N6O3S,525.2641,3.78,1.09,0.009,1/1,2889010.93588755,31.14533484712138,2523273.665077595,34.873989216724965,0.8734039853339652,0.8012880599394175
436,476.1233,17.79,4317301.141169629,4696032.630667315,4419505.37164747,3917443.504198441,17.79,5055862.726764255,4919912.32169415,4509552.607053025,5394599.042496109,C18H23F2N5O4S2,476.1233,17.79,1.24,0.001,1/1,4337570.661920713,7.43631463343861,4969981.674501885,7.36704595317868,1.1457984346244943,0.9240309956649148
437,613.2122,7.28,608504.239039018,574184.5372540376,498563.9853663805,470283.104002445,7.28,749566.669680605,690986.7620314792,693954.1508608733,661300.5207863771,C28H36O15,613.2122,7.28,1.33,0.021,1/1,537883.9664154702,11.962643602487875,698952.0258398337,5.2683819780692165,1.2994475936840844,0.9770282659278829
438,271.1441,5.1,3517454.838564351,3278785.5937226787,2892705.309140577,2547185.989251407,5.1,4374.7980713033285,1692.8492140900507,6786.90062575433,1036.822841947106,C16H18N2O2,271.1441,5.1,1.45,0.003,1/1,3059032.9326697537,13.972778126775328,3472.842688273704,76.0007315706013,0.0011352746978251064,0.0007829480674655906
439,468.1594,5.07,5446.659461568954,5819.899860347038,419.62485388664527,2099.656855493305,5.07,679466.6185019532,621224.5769334235,721027.5190031489,205175.91268287812,C24H23ClFN5O2,468.1594,5.07,1.02,0.624,1/1,3446.460257823986,76.05033578923178,556723.656780351,42.73448624200639,161.53491267351887,158.36756144462635
440,434.171,18.32,4953470.303169966,5732574.62467491,4535829.899781675,5211937.099924084,18.32,1204.225030617664,180.65578609431543,2073.614662983238,76.44393950407809,C24H23N3O5,434.171,18.32,1.42,0.015,1/1,5108452.981887658,9.801741506155361,883.7348547998239,106.6425908021376,0.00017299461459920675,0.00012182719337972307
443,412.321,9.77,16112851.989636667,16126157.017469369,2285472.433133614,8510087.026123289,9.77,13302461.223116338,15877408.00387533,7090684.4427099,16347791.593419248,C27H41NO2,412.321,9.77,0.83,0.162,1/1,10758642.116590735,62.196480024409226,13154586.315780204,32.37233042908872,1.22269949806163,1.4731319253754578
444,213.1023,4.0,6032639.863115596,4978788.01080421,6264352.498601805,5892110.950683832,4.0,5455736.949191452,6003337.8724496495,4272868.893457566,6502536.001278079,C13H12N2O,213.1023,4.0,0.95,0.576,1/1,5791972.83080136,9.727774914873436,5558619.929094187,17.231990384653244,0.9597109812970432,1.010222085575835
445,361.1647,8.89,882820.988313108,877236.3484129081,832618.9064044014,777457.5826295373,8.89,930397.9206694104,892532.5814996747,906037.4658567572,918891.1861224732,C20H24O6,361.1647,8.89,1.13,0.193,1/1,842533.4564399887,5.798627537364548,911964.788537079,1.7911903665282964,1.0824078041843739,0.9578830125525434
446,432.0213,6.69,99040.95862135748,442811.56830852217,16247.864065509038,21612.274686199657,6.69,4733013.448975932,4934493.443667287,4604945.622851498,4972920.3232004745,C15H15FIN3O3,432.0213,6.69,1.25,0.025,1/1,144928.1664203971,139.4895599578598,4811343.209673798,3.6001051086933655,33.198123791322956,26.558499033058364
447,421.2738,32.32,3900225.310121337,3938761.102460245,3695964.680937291,3430872.355399306,32.32,4112092.679593366,4171596.457039378,3920232.589079244,4300245.377626102,C28H36O3,421.2738,32.32,1.07,0.298,1/1,3741455.8622295447,6.2237292006107054,4126041.7758345227,3.83143487049423,1.1027904451546309,1.0306452758454494
448,363.1456,4.37,9388043.041088324,7664481.12263706,10685102.046831518,9655353.044372454,4.37,7739083.593144912,8230999.368494559,4819137.696951101,8354954.552856815,C17H19FN4O4,363.1456,4.37,0.9,0.274,1/1,9348244.81373234,13.415134144519413,7286043.802861846,22.865239810921707,0.7794023314578614,0.8660025905087348
449,633.2518,8.34,1309452.0811379775,1311711.0077707402,9326.364896120982,123304.07973846437,8.34,4694950.755167988,4552821.336255357,4488445.500085746,5172859.925643618,C34H34F2N4O6,633.2518,8.34,0.91,0.174,1/1,688448.3833858258,104.56607951334354,4727269.379288177,6.543629255829421,6.866556002411125,7.545665936715522
450,546.142,20.01,4253656.215136823,3708628.8434359897,4162545.6794802337,4092165.795260784,20.01,5350186.114487775,5353207.675994474,5321585.435995264,5158637.1997866165,C25H22F3N5O4S,546.142,20.01,1.18,0.022,1/1,4054249.1333284574,5.912557559383578,5295904.106566032,1.7487824116767254,1.306260156296365,1.1070001324545466
451,329.0893,26.11,2396754.888655618,3916463.694212734,245882.3012879255,574051.8433740165,26.11,6001005.325620252,5802977.630692212,5160015.913527351,6033302.923255462,C18H11F3N2O,329.0893,26.11,1.4,0.004,1/1,1783288.1818825735,95.78281264887191,5749325.448273819,7.059143164552263,3.2240024392492734,2.3028588851780527
452,563.3447,3.59,523726.70009741536,517628.6498233728,332037.5916696293,404627.3842980137,3.59,436734.2865747919,521162.7823750788,295273.38536301616,647302.3662959535,C30H42N8O3,563.3447,3.59,1.3,0.118,1/1,444505.0814721078,20.887964236399593,475118.20515221014,31.12002036689867,1.0688701320999934,0.8222077939230718
453,192.0767,3.23,1210748.32568485,1193776.4229668067,1029020.1254134092,1064634.9075480644,3.23,1397752.9719016044,1421602.7780104363,1341593.312002211,1452032.7394776945,C9H9N3O2,192.0767,3.23,1.14,0.072,1/1,1124544.9454032825,8.107656055253717,1403245.4503479865,3.329442283508441,1.247834029296852,1.0945912537691684
454,401.3047,33.52,724.8718972116201,1095.3761108885735,833.799768880733,567.7609886740287,33.52,454388.4859755048,402335.9224640638,484553.1864903623,396457.0141348279,C26H40O3,401.3047,33.52,1.06,0.407,1/1,805.4521914137389,27.561948133542636,434433.6522661897,9.750212495591336,539.3661559274757,508.8359961579959
455,359.2214,14.25,622550.4136882367,603514.4397411494,660128.7065980175,668329.49655015,14.25,854001.516548577,902736.847858661,838429.3124956981,890464.8575344932,C22H30O4,359.2214,14.25,1.09,0.272,1/1,638630.7641443885,4.814329052113771,871408.1336093574,3.4650977032081234,1.3644944505246854,1.2518297711235644
456,560.2075,23.83,1665946.0186861197,5008420.480502486,3239.5694817930607,13477.530431396208,23.83,2066099.866686196,470328.5821439341,4605658.004009698,83826.45838928276,C28H37N3O3S3,560.2075,23.83,1.07,0.67,1/1,1672770.8997754487,140.90751434083444,1806478.2278072776,113.69690043707456,1.0799316439865003,1.0092819102677573
457,435.2028,7.77,149.0947983635331,25.63128774648763,450.16654165130126,448.3680432340672,7.77,23812689.148473244,27664135.009595565,15764266.39522012,29426695.13232438,C24H26N4O4,435.2028,7.77,1.34,0.015,1/1,268.31516774884733,80.1073764501528,24166946.421403326,25.12730051188708,90069.25185841323,67215.85959583077
458,486.9431,30.81,880586.7729701027,846449.2795635799,1028107.4364544298,877144.383815344,30.81,1093898.3199770977,853416.3049519099,992455.3787319936,1049518.8032089372,C16H14Br2N4O4,486.9431,30.81,1.08,0.349,1/1,908071.9682008642,8.973048474006298,997322.2017174845,10.481779539857733,1.0982854186033837,1.0169309431512812
460,126.0544,0.53,414131.4627839762,358367.84758435795,230950.2063803751,317028.93204675434,0.53,472230.8240250766,125794.29302559583,466352.503970266,147983.94188641757,C6H7NO2,126.0544,0.53,0.89,0.798,1/1,330119.6121988659,23.373931197454688,303090.390726839,63.39408239322177,0.9181229455227146,1.0315988151940614
462,465.1002,26.25,1913401.2862899648,2032076.4516313104,2090406.95378485,2112716.3228911767,26.25,2408627.223028944,2057207.6699674693,2233510.358805441,2338801.5935177086,C21H16F4N4O2S,465.1002,26.25,1.12,0.107,1/1,2037150.2536493253,4.380145582678982,2259536.7113298904,6.766395531258285,1.1091654664559891,0.9903263093357045
463,377.1606,3.62,672578.2723539027,569140.7830354687,805585.3437703004,734569.9203560767,3.62,815653.8221231045,752216.6670204127,696404.5316189314,484154.5478333852,C21H20N4O3,377.1606,3.62,1.03,0.677,1/1,695468.5798789371,14.411659507150457,687107.3921489585,20.929053243837263,0.9879776197345478,0.9592015725578134
464,542.2161,4.3,2874443.364146127,2375672.0165012125,1939590.592561698,2070816.7384906623,4.3,1880071.5639621364,2042207.3158213852,1016503.705427334,2300987.086343269,C27H32ClN5O5,542.2161,4.3,0.7,0.036,1/1,2315130.6779249245,17.934929210022567,1809942.417888531,30.75441518707201,0.7817884472555134,1.1168406389364478
465,524.036,6.97,2129195.324082212,2346808.7222250784,1901943.9003656087,2286639.653812694,6.97,3527569.257981466,4059632.953603939,3168125.6372431964,4414742.708182442,C19H17N5O7S3,524.036,6.97,1.36,0.0,1/1,2166146.9001213983,9.168351779619584,3792517.6392527614,14.590484014505408,1.7508127629941515,1.2873623257309936
466,392.2582,32.05,2021027.3379640623,2629437.311283676,1766514.294083719,1914605.0698231044,32.05,2361278.218495139,2248390.548884373,2290002.9079070296,2576943.625045374,C26H33NO2,392.2582,32.05,1.09,0.14,1/1,2082896.0032886406,18.196481660181952,2369153.825082979,6.169244381562072,1.1374326040965905,1.0435161505473307
467,587.2867,5.81,11816465.551487776,10335128.629506342,6575830.358983615,7122412.984152275,5.81,13778078.592001071,14588813.037971407,12653035.907299412,14368121.029332656,C33H38N4O6,587.2867,5.81,1.11,0.135,1/1,8962459.3810325,28.161627657019316,13847012.141651139,6.257233382238746,1.545001383320738,1.391893138126791
468,433.193,27.97,2233523.3633609437,2030769.774544072,2164363.109949948,1952575.6072959115,27.97,2471267.6665685805,2679682.392786476,2113397.3664955487,2972714.014240379,C23H26F2N2O4,433.193,27.97,1.14,0.221,1/1,2095307.9637877187,6.062590199078601,2559265.360022746,14.123979166308768,1.2214268280622218,1.0714270421598437
469,522.3181,3.84,264.0928874935913,452.7871316030865,288.6862068977017,123.80473407364134,3.84,572.465322622642,1236.342277266782,1134.7288525229037,1115.4097971777198,C28H39N7O3,522.3181,3.84,1.09,0.415,1/1,282.3427400170052,47.76342893632932,1014.736562397512,29.52302462842109,3.5939885060844685,3.2972371615453837
470,494.266,4.46,10175.299036056753,13583.334307458535,3922.9651047382167,4542.024878513054,4.46,3576893.3342735083,2497583.249551841,3085250.3360384824,619549.774532142,C29H31N7O,494.266,4.46,0.84,0.496,1/1,8055.90583169164,57.54577337119914,2444819.173598993,52.94314852547455,303.4815978087981,361.28761643904534
472,608.2268,25.18,502.7657028907081,429.8749394672777,99.6590229320505,229.02293120037177,25.18,1311401.0815550906,1452006.9140681638,895854.9446211671,1071235.668164575,C35H28F3N5O2,608.2268,25.18,1.19,0.01,1/1,315.33064912260204,58.53716797461658,1182624.6521022492,20.9294950670015,3750.42722739723,3151.619518821202
473,344.187,4.55,2551925.935083969,1881612.615821347,2558280.62785266,2477197.8390543484,4.55,2570753.423740945,2372809.657493086,1674170.5028680558,2218051.551200311,C20H25NO4,344.187,4.55,1.09,0.234,1/1,2367254.254453081,13.764793626278449,2208946.2838255996,17.412432252703855,0.9331259114521874,0.8560788178460434
474,343.1235,31.67,8842.53528444856,12522.05641609456,12054.69783694906,10120.796296011911,31.67,9635.23631177763,16454.1791418323,14232.811361971428,17704.415964533215,C12H22O11,343.1235,31.67,1.53,0.142,1/1,10885.021458376023,15.737855936490345,14506.660695028644,24.47693310028302,1.3327176938053504,0.8710573162126474
475,384.1744,6.42,18677131.29527681,17716235.63573583,15309229.447648937,21017075.359769925,6.42,17911700.505709693,17750942.41989172,14029886.079505118,17471401.24138547,C21H25N3O2S,384.1744,6.42,0.87,0.34,1/1,18179917.934607875,12.998335659054943,16790982.561623,11.016023735265549,0.9236005697065962,1.061609850237467
476,416.1883,5.33,98541.31034285158,243796.2999790453,33836.665603198795,37240.20302193411,5.33,335072.99451742764,801619.3575380549,95280.02734965508,5159.911432975168,C26H26ClN3,416.1883,5.33,1.24,0.19,1/1,103353.61973675745,95.04837193730218,309283.0727095282,115.27739404418982,2.9924745112679636,2.4132858961838415
477,311.139,21.45,1042048.881417195,1097468.798593411,1000737.5540606624,1046504.5628255116,21.45,3886.160324626175,2848.48218646062,2705.3735593550678,3997.735865745724,C18H18N2O3,311.139,21.45,1.24,0.002,1/1,1046689.9492241951,3.786252586015265,3359.437984046897,20.143015923637787,0.0032095827293812337,0.0025883731688558335
478,468.2137,16.96,1417996.195330668,1447989.9363208972,1357718.3598341078,1419574.2760089803,16.96,1108468.393845115,1266946.029066018,1098898.8325031395,1168599.3708584765,C22H30FN3O7,468.2137,16.96,1.04,0.205,1/1,1410819.6918736633,2.692699623096129,1160728.1565681873,6.654459870157267,0.822733169414911,0.791089585975876
479,305.2476,26.0,2698.8012188157827,2786.753847755569,1602.7437171338363,2662.6396267254395,26.0,2415849.3028777484,2586476.170331514,2495869.42553737,2398626.504737987,C20H32O2,305.2476,26.0,1.13,0.152,1/1,2437.7346026076566,22.935030713258286,2474205.350871155,3.476150087866576,1014.9609183150969,898.1955029337142
480,199.0867,3.35,2974441.617382516,3155655.394451213,2529309.6472185217,2386094.202561517,3.35,2209555.510221102,2373412.674799906,1980134.535790004,2600335.490137319,C12H10N2O,199.0867,3.35,1.16,0.014,1/1,2761375.215403442,13.149570868055607,2290859.5527370824,11.431721336027719,0.8296082111399641,0.715179492362038
481,318.1601,16.79,7942012.909382043,9001215.436892388,1866669.9225364863,4496766.5076876255,16.79,1314025.2991114813,935480.832142118,548864.340156036,416318.4392338533,C20H19N3O,318.1601,16.79,0.93,0.003,1/1,5826666.194124635,56.05472951808623,803672.2276608722,50.43098239093668,0.13793002737504706,0.1483118573925237
482,196.0887,4.55,2994433.040467421,2478346.7142858314,3201232.0684143296,3053800.9952873173,4.55,60726.569327622405,11337.357550268987,56217.148295530846,2612.1813532203337,C11H14ClN,196.0887,4.55,0.9,0.115,1/1,2931953.2046137247,10.731874879560541,32723.314131660645,91.68084559252155,0.01116092647050683,0.012401029411674255
483,283.1076,21.3,2433710.067204868,2999550.1568812183,2405290.777714274,2715303.9490489564,21.3,2510379.620008849,2348082.252177101,2407464.700569428,2233414.9043698544,C16H14N2O3,283.1076,21.3,1.12,0.167,1/1,2638463.7377123293,10.552997627637845,2374835.369281308,4.871487451457216,0.9000826258618209,0.80364520166234
484,361.2734,32.55,798459.9404382496,658062.1908432471,594936.5925415324,783368.5392877541,32.55,898068.5177457044,814864.5011564007,755049.1340635999,817228.5884826737,C23H36O3,361.2734,32.55,1.1,0.24,1/1,708706.8157776957,13.906141447403932,821302.6853620947,7.148393727770301,1.1588751047368473,1.0535228224880429
485,378.9834,4.48,688047.7771652751,558194.8635384648,570991.1882300251,560631.0408110355,4.48,802053.0492176751,786139.5651920536,506494.950101736,767034.6265627673,C13H18Br2N2O,378.9834,4.48,1.15,0.126,1/1,594466.2174362001,10.536157708454203,715430.547768558,19.572011640248263,1.2034839437202167,1.0465077771480147
486,428.1557,3.75,173739.01235525144,171008.07181209305,167256.68253387793,147624.96874833127,3.75,583.8233781414363,631.0559321940833,623.0021040327302,814.2001753360626,C20H21N5O6,428.1557,3.75,1.44,0.022,1/1,164907.18386238843,7.1700614913933,663.020397426078,15.516330649837442,0.004020567096575699,0.002792060483733124
487,205.0969,3.09,24827.362875124192,29803.894603560315,28488.26491336941,26173.803623612068,3.09,21330.787783545307,28413.61870251325,17354.839376677603,28253.33660628547,C11H12N2O2,205.0969,3.09,1.05,0.21,1/1,27323.331503916495,8.200500627457597,23838.14561725541,22.81647562403282,0.872446524825806,0.8309014522150533
488,479.0259,28.99,2006313.7838417485,1789261.0575488675,1540022.8364870567,1946546.9861826971,28.99,2274334.154894344,2445370.2044706903,2084108.21947061,2029741.3698561464,C21H17Cl3N4OS,479.0259,28.99,1.25,0.038,1/1,1820536.1660150925,11.436903271025816,2208388.4871729477,8.586443517294102,1.2130429092253694,0.9704343273802956
489,545.238,8.77,445838.4142037543,467274.1804112723,448483.5847643999,435023.8629615873,8.77,452513.8002330632,453949.8466443418,406806.9368349116,474314.36319528247,C29H36O10,545.238,8.77,1.01,0.869,1/1,449155.0105852534,2.9854954730512846,446896.23672689975,6.3818532794461005,0.9949710594224241,0.9851198608142813
490,417.336,34.55,1004570.3465329092,955921.828191966,1018372.2801662768,1136446.422935627,34.55,1507505.6524457135,1534360.720305403,1523657.8886549587,1478932.0752385953,C27H44O3,417.336,34.55,1.22,0.018,1/1,1028827.7194566948,7.443698394508165,1511114.0841611675,1.5966910609622516,1.468772716348622,1.2039120625808377
491,365.1963,21.03,958731.9391378658,668329.5595588523,84790.98502658794,217956.6708006415,21.03,3971747.747414404,930888.5324261104,7108808.511581141,88978.28754663405,C20H28O6,365.1963,21.03,1.01,0.644,1/1,482452.2886309869,83.72492055834061,3025105.7697420726,105.53898919125669,6.270269290930619,6.208187416762989
492,366.1014,3.95,262681.7917031201,223330.8917423745,231978.6899882749,219404.31493982952,3.95,264015.1351583748,343620.351538253,160935.87107876124,360792.75241531705,C17H17ClFN3O3,366.1014,3.95,1.34,0.003,1/1,234348.92209339977,8.36587483839424,282341.0275476765,32.32243027209728,1.2047891026149014,0.8990963452350009
493,380.1688,4.76,75470.8104423292,26990.797428479164,6256.670005566733,18930.6818440957,4.76,164750.84615452326,8885.14331661996,212821.0895753069,8519.417977074125,C14H25N3O9,380.1688,4.76,0.91,0.037,1/1,31912.2399301177,94.84491608800376,98744.12425588105,107.15304251281343,3.094239842521667,3.400263563210623
495,358.1569,3.53,1448552.2250257882,1297129.855049538,1269398.2788334829,1162627.1080960832,3.53,1530900.0095801707,1672145.5414668175,1132466.0505809097,1778723.3605359795,C19H20FN3O3,358.1569,3.53,1.34,0.012,1/1,1294426.866751223,9.114643797804154,1528558.7405409692,18.507521458352524,1.1808768651236161,0.8812513918832956
496,261.0315,25.77,2401.315814894706,2148.4209198717253,3342.6780368544105,2337.029290387989,25.77,5064.5497007811655,4561.412466915908,5293.604510775033,4008.5624981159,C8H12N4S3,261.0315,25.77,1.45,0.058,1/1,2557.361015502208,20.897771970736752,4732.032294147002,12.068719137654726,1.8503575621362705,1.2761086635422556
497,515.1372,31.31,10535468.022582328,11896559.039403437,10489407.813439116,9116956.738945415,31.31,9513242.36719022,18201053.4649459,13041303.868298024,15339872.010022713,C25H21F3N4O3S,515.1372,31.31,1.08,0.447,1/1,10509597.903592573,10.798970840758543,14023867.927614216,26.197252687365264,1.334386724997379,1.235543263886462
498,412.2705,3.97,6938096.481686643,7524657.186844493,4963891.612470597,5042642.324329452,3.97,5341090.982818507,5270636.139730169,3878072.824579241,3956579.440900277,C23H33N5O2,412.2705,3.97,1.15,0.129,1/1,6117321.901332796,21.396500434264258,4611594.847007048,17.4089076353443,0.7538584565906706,0.6555290926875398
499,413.1973,4.48,3699406.833063647,2984833.9403108363,3520283.0585559355,3777841.319679494,4.48,3981609.66895333,3211376.775766334,4596084.434301629,2205560.302989688,C25H24N4O2,413.1973,4.48,1.2,0.052,1/1,3495591.287902478,10.21742578266872,3498657.795502745,29.483854718521474,1.0008772500408956,0.8340643750340797
500,348.1595,26.97,325860.848003986,1450183.0662373607,33363.33340664136,52926.21195265218,26.97,6893482.437042297,6987273.404151278,6514417.7886457965,7314882.116336803,C22H21NO3,348.1595,26.97,1.2,0.015,1/1,465583.36490016006,143.87123499638744,6927513.936544044,4.754359372286674,14.879212744273163,12.399343953560969
501,521.1677,26.4,9017712.69471109,10166253.479042364,8624052.020350596,9828084.2069837,26.4,10260613.569543269,11406458.6538765,11354284.747357152,12247944.419895878,C27H28N4O3S2,521.1677,26.4,1.11,0.158,1/1,9409025.600271938,7.560934006372187,11317325.3476682,7.200132662926671,1.2028158736587038,1.0836179041970304
502,462.1573,8.01,592972.3350243752,578903.4579731348,31557.32367309719,118226.41257166362,8.01,2099954.578580655,2535421.5915656835,1245407.452292713,2134546.757654493,C26H24ClN3O3,462.1573,8.01,1.16,0.121,1/1,330414.8823105678,89.95418458299498,2003832.5950233862,27.09154885321793,6.064595459534774,5.228099534081703
503,367.2488,3.78,1574021.6380770598,1234296.0066413975,2329310.964622273,2122373.010710869,3.78,2818.7072038541514,2313.749239918257,1629.4030583967049,1825.0946393953604,C22H30N4O,367.2488,3.78,1.26,0.026,1/1,1815000.4050128998,27.62672554210423,2146.7385353911186,24.802978007447464,0.0011827757886235077,0.0009387109433519902
504,338.0857,15.99,1477350.0623532098,1472129.7851636233,1442729.9958510394,1366589.214599404,15.99,2234847.599416999,2258378.1877579205,2332902.690122367,2594274.92130713,C14H10F3N5O2,338.0857,15.99,1.37,0.02,1/1,1439699.7644918193,3.5470749793179697,2355100.849651104,6.999122608288406,1.6358277661331702,1.194034865790635
505,430.1698,30.36,16407204.240790533,14078239.96850564,15822723.870972035,16860787.16530094,30.36,18326693.65812269,16024364.63683384,13747373.65939745,14056185.922731591,C24H23N5OS,430.1698,30.36,1.12,0.27,1/1,15792238.811392289,7.719688360568639,15538654.469271392,13.60908791813731,0.9839424704027421,0.878520062859591
506,285.1058,17.91,5153658.076905262,5444194.166444439,6468659.543239366,5573309.147985894,17.91,3211412.8680575998,4058675.796439752,2717098.209500361,4755554.915006113,C16H16N2OS,285.1058,17.91,0.71,0.063,1/1,5659955.23364374,10.017398352254494,3685685.4472509567,24.503252220942695,0.6511863248215486,0.9171638377768291
507,331.0568,25.99,4428740.263134541,4566601.4212977225,4621398.173378709,4458429.110410316,25.99,3462044.062680053,3890323.882306377,3774590.72870127,4213019.027767323,C16H14N2O2S2,331.0568,25.99,1.22,0.05,1/1,4518792.242055323,2.002584966102654,3834994.425363756,8.089122897016228,0.8486768631831259,0.6956367731009229
508,415.1872,4.16,2269142.0010937382,2355787.906883178,2108407.225541078,2004885.116865112,4.16,1940085.4754189693,1943764.4984028745,1947905.778795794,1063378.6871601492,C23H22N6O2,415.1872,4.16,1.25,0.015,1/1,2184555.5625957763,7.216321721870821,1723783.6099444467,25.54157813096748,0.7890774853518389,0.6312619882814711
509,263.0815,14.1,863283.0393939815,834128.0508438522,751894.7528597034,856778.8835107157,14.1,1181908.147537673,1153888.1019605794,1143226.924226079,1264866.746034328,C16H10N2O2,263.0815,14.1,1.32,0.012,1/1,826521.1816520632,6.206289769590511,1185972.4799396647,4.6432678535834055,1.4348966563314502,1.0870429214632198
510,323.1025,13.83,1303462.7183059494,1309811.2442786912,1264446.1493857217,1229490.1622750186,13.83,1720523.9391122945,1714998.3885030493,1570598.39695415,1746047.0035698216,C18H14N2O4,323.1025,13.83,1.4,0.002,1/1,1276802.5685613453,2.9275167132942443,1688041.932034829,4.706934391479166,1.3220853196879554,0.9443466569199682
511,411.1751,5.07,7739253.335408867,8846477.700947504,7357352.6510446835,7974748.961669303,5.07,11094216.184985405,12371933.722335504,12394003.070379123,8714822.560088526,C18H21F3N6O2,411.1751,5.07,1.5,0.0,1/1,7979458.16226759,7.9143421857596445,11143743.884447139,15.520091172726246,1.3965539586563014,0.9310359724375342
512,444.0999,24.59,1483815.9944395528,1524061.7144845682,1443069.9172389037,1339223.0762043942,24.59,1140204.923805893,1085940.1056731837,1112552.4117068364,1052643.132045296,C17H11F6N7O,444.0999,24.59,1.09,0.13,1/1,1447542.6755918546,5.486749508399337,1097835.1433078023,3.406431006262018,0.7584129724251011,0.6957917178211936
513,600.1912,31.59,19546.590142723828,9803.362904051975,45996.45864829399,11199.404985043691,31.59,4862230.349707311,4854917.902781364,4425597.515971694,4942391.569341513,C31H29N5O6S,600.1912,31.59,1.08,0.159,1/1,21636.45417002837,77.64725637390438,4771284.33445047,4.900977169524012,220.5206221387159,204.18576123955177
514,394.235,9.26,4838658.363497738,5006029.436789597,4900842.095586697,4773037.836092488,9.26,4556919.556512838,4505946.742491925,4478871.171635473,4318481.12134109,C21H27N7O,394.235,9.26,1.13,0.005,1/1,4879641.93299163,2.0310557484232485,4465054.647995331,2.305317086450083,0.9150373550581155,0.8097675708478899
516,326.1419,9.75,190.85866043831265,90.6552270361728,2088.959152455235,440.4909077377968,9.75,10185837.747869063,12952922.292600775,4989993.792529563,10185973.654571818,C19H20ClN3,326.1419,9.75,0.88,0.236,1/1,702.7409869168794,133.16133040668657,9578681.871892806,34.718844114854996,13630.45851917241,15489.157408150468
517,342.1811,13.7,2853047.7275429894,2978945.405442181,2586668.4665497444,2676010.587492806,13.7,3805531.897763442,3814471.573983671,3649528.410783551,3727961.341175784,C19H23N3O3,342.1811,13.7,1.28,0.0,1/1,2773668.0467569306,6.34599400495475,3749373.305926612,2.0555257869080217,1.351774344558106,1.0560737066860204
518,521.2672,31.43,25111524.842470597,25320014.437226668,23770420.555699427,24999269.766349047,31.43,28401212.860475272,24883055.495489664,26301920.303519808,25347941.02472501,C31H32N6O2,521.2672,31.43,0.92,0.231,1/1,24800307.400436435,2.8198606945390137,26233532.421052437,5.9509743958543835,1.057790615151439,1.1497724077733031
519,455.2475,21.54,1781178.5065962477,1615006.609374567,12531.375913046028,100688.00207349753,21.54,786009.3496772203,127255.09902830396,4178866.476224525,50569.67442473216,C25H34N4O2S,455.2475,21.54,1.27,0.039,1/1,877351.1234893395,108.37358937060593,1285675.1498386953,152.2031416247552,1.4654054863751675,1.1538625876969824
520,309.0906,31.08,9345323.48968067,11015913.281329695,9957038.405607734,8968977.155985193,31.08,2468.1338661062987,2023.5727417787955,3961.1025827526,1143.4918947884694,C17H13ClN4,309.0906,31.08,1.2,0.04,1/1,9821813.083150823,9.10375418433479,2399.0752713565407,49.0971698375912,0.0002442599193291633,0.00020354993277430276
